k,rate,block,origin,reps,recall_med,recall_p05,f1_med,spec_med,fp_med,fp_p95,blockdet,berr_med,berr_p90,dmfab_med,repair_acc_med
1,0.01,contig,case,200,0.9847908745247148,0.9781368821292775,0.9923371647509579,1.0,0.0,0.0,1.0,0.0,0.0,50.0,0.9983012662726912
1,0.01,contig,random,200,0.9814638783269962,0.0,0.9918543363679923,1.0,0.0,0.0,0.865,0.0,8.800000000000011,49.0,0.9979853941072777
1,0.01,scatter,case,200,0.9857414448669202,0.9790874524714829,0.9928195308760173,1.0,0.0,0.0,1.0,,,49.5,0.9982552797443878
1,0.01,scatter,random,200,0.9833650190114068,0.0,0.9923371647509579,1.0,0.0,0.0,0.84,,,50.0,0.9980778360923451
1,0.05,contig,case,200,0.9847908745247148,0.9821197718631178,0.9923371647509579,1.0,0.0,0.0,1.0,0.0,0.0,247.5,0.9981851443544136
1,0.05,contig,random,200,0.9839353612167301,0.0,0.9921440889059208,1.0,0.0,0.0,0.83,0.0,9.5,248.0,0.9980540377615976
1,0.05,scatter,case,200,0.9849809885931559,0.9821292775665399,0.992433674935351,1.0,0.0,0.0,1.0,,,248.0,0.998234380740644
1,0.05,scatter,random,200,0.9840304182509506,0.0,0.9923371647509579,1.0,0.0,0.0,0.85,,,248.0,0.9980438064961796
1,0.1,contig,case,200,0.9847908745247148,0.9826948669201522,0.9923371647509579,1.0,0.0,0.0,1.0,0.0,0.0,495.0,0.9982165349128926
1,0.1,contig,random,200,0.9839353612167301,0.0,0.9923854221541114,1.0,0.0,0.0,0.845,0.0,17.200000000000017,492.0,0.9979522604232581
1,0.1,scatter,case,200,0.9851711026615969,0.9826948669201522,0.9925301666347444,1.0,0.0,0.0,1.0,,,497.5,0.9982315679601989
1,0.1,scatter,random,200,0.9843155893536122,0.0,0.9923854221541114,1.0,0.0,0.0,0.86,,,499.0,0.9979020637445706
2,0.01,contig,case,200,0.9847908745247148,0.9780893536121673,0.9923371647509579,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.998151717985533
2,0.01,contig,random,200,0.9838403041825095,0.0,0.9923371647509579,1.0,0.0,0.0,0.91,0.0,5.900000000000006,0.0,0.9980114383673505
2,0.01,scatter,case,200,0.9847908745247148,0.9781368821292775,0.9923371647509579,1.0,0.0,0.0,1.0,,,0.0,0.9982295183382139
2,0.01,scatter,random,200,0.9828897338403042,0.0,0.9918543363679923,1.0,0.0,0.0,0.925,,,0.0,0.9977184977184977
2,0.05,contig,case,200,0.9851711026615969,0.9823193916349809,0.9925301666347444,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9980772928283023
2,0.05,contig,random,200,0.9844106463878327,0.0,0.9922889004136052,1.0,0.0,0.0,0.94,0.0,11.0,0.0,0.9977729137496093
2,0.05,scatter,case,200,0.9853612167300381,0.9825,0.992626639854448,1.0,0.0,0.0,1.0,,,0.0,0.998128161356882
2,0.05,scatter,random,200,0.9843155893536122,0.0,0.9922406360762525,1.0,0.0,0.0,0.895,,,0.0,0.9979665533078568
2,0.1,contig,case,200,0.9845057034220532,0.9828849809885932,0.9921923648033721,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9980922469631306
2,0.1,contig,random,200,0.9839353612167301,0.0,0.9921923648033721,1.0,0.0,0.0,0.875,0.0,5.599999999999994,0.0,0.997785942183119
2,0.1,scatter,case,200,0.9849809885931559,0.9835503802281369,0.992433674935351,1.0,0.0,0.0,1.0,,,0.0,0.998121602457231
2,0.1,scatter,random,200,0.9845057034220532,0.0,0.9923854221541114,1.0,0.0,0.0,0.895,,,0.0,0.997962527017167
