k,rate,block,origin,n_inj,start,origin_idx,wave_group,tp,fp,fn,tn,recall,precision,specificity,f1,block_detected,boundary_err,dm_fabricated,repair_cell_acc,origin_col,rep
1,0.05,contig,case,5260,29298,1,2018-2021,5251,0,9,99935,0.9982889733840304,1.0,1.0,0.9991437541623063,True,0.0,235,0.9887380758643375,weight,0
1,0.05,contig,case,5260,4141,1,2018-2021,5253,0,7,99935,0.9986692015209125,1.0,1.0,0.9993341577095026,True,0.0,253,0.9907325684024714,weight,1
1,0.05,contig,case,5260,38160,1,2023-2024,5250,0,10,99935,0.9980988593155894,1.0,1.0,0.9990485252140818,True,0.0,231,0.9891168831168832,weight,2
1,0.05,contig,case,5260,32431,1,2023-2024,5250,0,10,99935,0.9980988593155894,1.0,1.0,0.9990485252140818,True,0.0,246,0.9884502164502165,weight,3
1,0.05,contig,case,5260,36521,1,2018-2021,5251,0,9,99935,0.9982889733840304,1.0,1.0,0.9991437541623063,True,0.0,249,0.9884610723498555,weight,4
1,0.05,contig,case,5260,69439,1,2018-2021,5254,0,6,99935,0.9988593155893536,1.0,1.0,0.9994293323188129,True,0.0,260,0.9871785998546562,weight,5
1,0.05,contig,case,5260,27248,1,2018-2021,5250,0,10,99935,0.9980988593155894,1.0,1.0,0.9990485252140818,True,0.0,232,0.9894891774891775,weight,6
1,0.05,contig,case,5260,60073,1,2018-2021,5250,0,10,99935,0.9980988593155894,1.0,1.0,0.9990485252140818,True,0.0,260,0.9888744588744589,weight,7
1,0.05,contig,case,5260,15814,1,2023-2024,5253,0,7,99935,0.9986692015209125,1.0,1.0,0.9993341577095026,True,0.0,247,0.9871328937576795,weight,8
1,0.05,contig,case,5260,57647,1,2018-2021,5247,0,13,99935,0.9975285171102661,1.0,1.0,0.9987627296088322,True,0.0,276,0.9887554793215171,weight,9
1,0.05,contig,case,5260,87618,1,2023-2024,5252,0,8,99935,0.9984790874524715,1.0,1.0,0.9992389649923896,True,0.0,249,0.9905317454822405,weight,10
