k,rate,block,origin,n_inj,start,origin_idx,wave_group,tp,fp,fn,tn,recall,precision,specificity,f1,block_detected,boundary_err,dm_fabricated,repair_cell_acc,rep
1,0.05,contig,random,69498,872999,3,2018-2021,42481,0,27017,1320469,0.611255000143889,1.0,1.0,0.7587315478795131,True,0.0,772,0.4875694428097267,0
1,0.05,contig,random,69498,954384,6,2018-2021,42381,0,27117,1320469,0.6098161098161098,1.0,1.0,0.7576220738476389,True,3.0,758,0.5482881479908449,1
1,0.05,contig,random,69498,434118,9,2018-2021,40432,0,29066,1320469,0.5817721373276928,1.0,1.0,0.7355953788774675,True,2.0,0,0.5388429956470122,2
1,0.05,contig,random,69498,810938,6,2018-2021,42588,0,26910,1320469,0.6127946127946128,1.0,1.0,0.7599164926931106,True,0.0,697,0.5507564427682771,3
1,0.05,contig,random,69498,488558,3,2018-2021,42775,0,26723,1320469,0.61548533770756,1.0,1.0,0.7619819546997052,True,0.0,832,0.48746493278784336,4
1,0.05,contig,random,69498,542773,12,2018-2021,39020,0,30478,1320469,0.5614550058994503,1.0,1.0,0.7191433679205292,True,0.0,0,0.45264333308925825,5
1,0.05,contig,random,69498,224841,3,2018-2021,42667,0,26831,1320469,0.6139313361535583,1.0,1.0,0.7607899077252261,True,0.0,757,0.4872896500808587,6
1,0.05,contig,random,69498,956692,9,2018-2021,40367,0,29131,1320469,0.5808368586146364,1.0,1.0,0.7348473126109316,True,2.0,0,0.5389303143656947,7
1,0.05,contig,random,69498,1025805,9,2018-2021,40404,0,29094,1320469,0.5813692480359147,1.0,1.0,0.7352732434350603,True,0.0,0,0.5395406395406396,8
1,0.05,contig,random,69498,49268,12,2018-2021,39067,0,30431,1320469,0.5621312843535066,1.0,1.0,0.7196978768479713,True,1.0,0,0.45182086452212133,9
1,0.05,contig,random,69498,1137621,4,2018-2021,42705,0,26793,1320469,0.6144781144781145,1.0,1.0,0.7612095933263816,True,16.0,774,0.5070803574913164,10
1,0.05,contig,random,69498,32013,11,2018-2021,39112,0,30386,1320469,0.5627787850010072,1.0,1.0,0.7202283399318663,True,0.0,0,0.5160692370627941,11
1,0.05,contig,random,69498,57911,16,2018-2021,0,0,69498,1320469,0.0,,1.0,,False,,0,,12
1,0.05,contig,random,69498,275384,12,2018-2021,38918,0,30580,1320469,0.5599873377651156,1.0,1.0,0.7179383116883118,True,1.0,0,0.45293033704565644,13
1,0.05,contig,random,69498,416884,4,2018-2021,42451,0,27047,1320469,0.6108233330455553,1.0,1.0,0.7583989137911012,True,1.0,777,0.505246048385197,14
1,0.05,contig,random,69498,1173690,10,2018-2021,40501,0,28997,1320469,0.5827649716538605,1.0,1.0,0.736388512622842,True,0.0,0,0.5549904117593805,15
1,0.05,contig,random,69498,1084402,4,2018-2021,42377,0,27121,1320469,0.6097585542029986,1.0,1.0,0.7575776536312849,True,0.0,789,0.505308697327953,16
1,0.05,contig,random,69498,61508,12,2018-2021,39022,0,30476,1320469,0.5614837837060059,1.0,1.0,0.7191669738297088,True,0.0,0,0.45273362279153884,17
1,0.05,contig,random,69498,794062,12,2018-2021,38726,0,30772,1320469,0.5572246683357794,1.0,1.0,0.7156638083973981,True,1.0,0,0.45284452674836395,18
1,0.05,contig,random,69498,843786,3,2018-2021,42656,0,26842,1320469,0.6137730582175026,1.0,1.0,0.7606683667100594,True,0.0,745,0.48887172965116277,19
1,0.05,contig,random,69498,861912,12,2018-2021,38941,0,30557,1320469,0.5603182825405048,1.0,1.0,0.7182102380139986,True,0.0,0,0.4538954535616152,20
1,0.05,contig,random,69498,283525,8,2018-2021,40570,0,28928,1320469,0.5837578059800282,1.0,1.0,0.7371806519606061,True,1.0,0,0.5282653998700338,21
1,0.05,contig,random,69498,532133,4,2018-2021,42659,0,26839,1320469,0.613816224927336,1.0,1.0,0.7607015166240181,True,0.0,789,0.5064753822952561,22
1,0.05,contig,random,69498,1072226,1,2018-2021,56709,0,12789,1320469,0.815980315980316,1.0,1.0,0.8986664765028881,True,0.0,785,0.4309486442481205,23
1,0.05,contig,random,69498,1080990,13,2018-2021,38725,0,30773,1320469,0.5572102794325017,1.0,1.0,0.7156519408998088,True,1.0,0,0.42032278889606195,24
1,0.05,contig,random,69498,969066,3,2018-2021,42561,0,26937,1320469,0.6124061124061124,1.0,1.0,0.7596177013894466,True,0.0,739,0.48639305937360494,25
1,0.05,contig,random,69498,216285,10,2018-2021,40665,0,28833,1320469,0.5851247517914184,1.0,1.0,0.7382696549658233,True,0.0,0,0.5548260174597319,26
1,0.05,contig,random,69498,844479,17,2018-2021,0,0,69498,1320469,0.0,,1.0,,False,,0,,27
1,0.05,contig,random,69498,849160,6,2018-2021,42597,0,26901,1320469,0.612924112924113,1.0,1.0,0.7600160578081092,True,1.0,750,0.5521804533002505,28
1,0.05,contig,random,69498,1215736,12,2018-2021,39140,0,30358,1320469,0.5631816742927854,1.0,1.0,0.720558184060826,True,0.0,0,0.45122636688809403,29
1,0.05,contig,random,69498,116963,6,2018-2021,42669,0,26829,1320469,0.613960113960114,1.0,1.0,0.7608120035304502,True,0.0,750,0.5501958727016731,30
1,0.05,contig,random,69498,1082633,1,2018-2021,56754,0,12744,1320469,0.8166278166278166,1.0,1.0,0.8990590248075279,True,0.0,782,0.4323620851002181,31
1,0.05,contig,random,69498,147874,4,2018-2021,42572,0,26926,1320469,0.6125643903421681,1.0,1.0,0.7597394485589364,True,1.0,761,0.5074931880108992,32
1,0.05,contig,random,69498,294326,6,2018-2021,42576,0,26922,1320469,0.6126219459552793,1.0,1.0,0.7597837143316023,True,1.0,731,0.5506027230942676,33
1,0.05,contig,random,69498,1062113,14,2018-2021,0,0,69498,1320469,0.0,,1.0,,False,,0,,34
1,0.05,contig,random,69498,572667,9,2018-2021,40581,0,28917,1320469,0.583916083916084,1.0,1.0,0.7373068432671082,True,0.0,0,0.539885660777211,35
1,0.05,contig,random,69498,1003722,1,2018-2021,56857,0,12641,1320469,0.8181098736654292,1.0,1.0,0.8999564718451981,True,0.0,735,0.4329262692173152,36
1,0.05,contig,random,69498,1251389,6,2018-2021,42623,0,26875,1320469,0.6132982244093356,1.0,1.0,0.7603036005743795,True,0.0,774,0.5504503707821166,37
1,0.05,contig,random,69498,837646,17,2018-2021,0,0,69498,1320469,0.0,,1.0,,False,,0,,38
1,0.05,contig,random,69498,611838,10,2018-2021,40441,0,29057,1320469,0.581901637457193,1.0,1.0,0.7356988875649224,True,0.0,0,0.5529591805895557,39
1,0.05,contig,random,69498,417304,2,2018-2021,56875,0,12623,1320469,0.8183688739244295,1.0,1.0,0.9001131570826046,True,0.0,775,0.4048672268907563,40
1,0.05,contig,random,69498,128643,1,2018-2021,56991,0,12507,1320469,0.8200379867046533,1.0,1.0,0.9011218366814506,True,2.0,754,0.4335665085520326,41
1,0.05,contig,random,69498,954035,7,2018-2021,42368,0,27130,1320469,0.6096290540734985,1.0,1.0,0.7574776965297767,True,0.0,0,0.5519889224572004,42
1,0.05,contig,random,69498,880765,10,2018-2021,40468,0,29030,1320469,0.5822901378456934,1.0,1.0,0.7360093119691541,True,0.0,0,0.5556818556225495,43
1,0.05,contig,random,69498,22745,14,2018-2021,0,0,69498,1320469,0.0,,1.0,,False,,0,,44
1,0.05,contig,random,69498,1016434,12,2018-2021,38897,0,30601,1320469,0.5596851707962819,1.0,1.0,0.7176899303473406,True,0.0,0,0.45144869784302133,45
1,0.05,contig,random,69498,982708,8,2018-2021,40779,0,28719,1320469,0.5867650867650868,1.0,1.0,0.7395739818819881,True,1.0,0,0.5268041260095994,46
1,0.05,contig,random,69498,91558,17,2018-2021,0,0,69498,1320469,0.0,,1.0,,False,,0,,47
1,0.05,contig,random,69498,1319532,5,2018-2021,42535,0,26963,1320469,0.6120320009208898,1.0,1.0,0.7593298403149072,True,2.0,732,0.5262338578313658,48
1,0.05,contig,random,69498,839911,9,2018-2021,40556,0,28942,1320469,0.5835563613341391,1.0,1.0,0.7370200083595325,True,5.0,0,0.5420776210671664,49
