wave_group,k,rate,reps,recall_med,f1_med
2018-2021,1,0.01,225,0.9838403041825095,0.9918543363679923
2018-2021,1,0.05,237,0.9842205323193917,0.9921440889059208
2018-2021,1,0.1,246,0.9844106463878327,0.9923130337380921
2018-2021,2,0.01,242,0.9847908745247148,0.9923371647509579
2018-2021,2,0.05,230,0.9850760456273764,0.9925301666347444
2018-2021,2,0.1,207,0.9843155893536122,0.9921923648033721
2023-2024,1,0.01,575,0.9847908745247148,0.9923371647509579
2023-2024,1,0.05,563,0.9846007604562738,0.9923371647509579
2023-2024,1,0.1,554,0.9848859315589353,0.9924819230953407
2023-2024,2,0.01,558,0.9838403041825095,0.9923371647509579
2023-2024,2,0.05,570,0.9847908745247148,0.992433674935351
2023-2024,2,0.1,593,0.9846958174904943,0.9923854221541114
