,nonnull_pct
id,100.0
year,100.0
wave_idx,100.0
n_waves,100.0
age,100.0
sex_male,100.0
id_integrity,100.0
high_tg,100.0
low_hdl,100.0
central_obese,100.0
chronic_mgmt_flag,100.0
fatty,99.8
steatosis_cmrf,99.8
height,99.7
smoke,99.7
pulse,99.7
weight,99.7
drink,99.7
bmi,99.6
ecg_text,99.6
hr,99.6
waist,99.6
sbp,99.5
dbp,99.5
htn_screen,99.5
ecg_srirr,98.9
ecg_abnormal,98.9
ecg_rate,98.9
ecg_af,98.9
ecg_pacPvc,98.9
ecg_stt,98.9
ecg_anyBlock,98.9
ecg_qwave,98.9
ecg_axis,98.9
ecg_normal,98.9
wbc,98.5
lymph,98.5
neut,98.5
hct,98.5
mcv,98.5
mch,98.5
mono,98.5
eos,98.5
baso,98.5
hb,98.5
rbc,98.5
bun,98.5
ast,98.5
tbil,98.5
plt,98.5
mchc,98.5
dm_screen,98.5
dysglycemia,98.5
tyg,98.5
sii,98.5
ldl,98.5
hdl,98.5
tg,98.5
crea,98.5
tc,98.5
fpg,98.5
cea,98.5
egfr,98.5
ua,98.4
afp,98.3
mpv,98.2
pdw,98.2
ca199,96.9
proteinuria,96.9
uprot_score,96.9
hsi,90.8
fib4,90.8
alt,90.8
fat_state,13.0
fatty_degree,5.2
hba1c,2.0
dbil,0.0
past_history,0.0
