,nonnull_pct
id,100.0
year,100.0
wave_idx,100.0
n_waves,100.0
qdate,100.0
age,100.0
male,100.0
low_hdl,100.0
hist_dm,100.0
hist_htn,100.0
high_tg,100.0
central_obese,78.1
height,77.7
weight,77.7
bmi,77.6
smoke_raw,75.9
drink_raw,75.5
dm_screen,71.6
urea,67.2
waist,63.1
crea,60.7
tg,57.3
tbil,56.1
ecg_text,52.8
ecg_stt,52.8
fatty_explicit,50.6
us_text,50.6
fatty_broad,50.6
ua,39.3
alt,37.3
tc,33.3
ast,32.6
ldl,26.0
hdl,25.1
htn_screen,23.2
dysglycemia,22.1
fpg,19.8
sbp,16.5
dbp,16.5
alb,12.6
tp,8.7
glob,4.9
