item_name,n,n_num,num_share,p001,p01,p99,p999,oor_strict,oor_loose,delta_rows,flagged_rate_released_pct,flagged_rate_alt_pct
淋巴细胞绝对值,104392,104261,0.9987451145681662,0.52,0.84,2237.0,3147.0,202,2068,1866,0.1937,1.9835
脂蛋白(a),101640,101524,0.9988587170405352,2.0,7.6,1464.2310000000011,4306.420299999985,165,2031,1866,0.1625,2.0005
高密度脂蛋白胆固醇,102780,102653,0.9987643510410585,0.65,0.84,5.36,7.683479999999982,202,2048,1846,0.1968,1.9951
低密度脂蛋白胆固醇,102813,102609,0.998015815120656,0.44,0.77,16.829199999999982,23.109200000000712,201,2037,1836,0.1959,1.9852
总胆固醇,102815,102690,0.9987842240918154,1.84,2.38,25.05,34.29244000000006,203,2027,1824,0.1977,1.9739
甘油三酯,102823,102682,0.998628711475059,0.37,0.48,14.76,28.276380000000064,187,2000,1813,0.1821,1.9478
血小板体积分布宽度,97057,96869,0.9980629939107947,7.4,8.4,20.1,24.2,117,1870,1753,0.1208,1.9304
中性粒细胞百分数,97057,96927,0.9986605808957623,28.7,36.4,76.7,86.8,191,1933,1742,0.1971,1.9943
白细胞计数,97060,96930,0.9986606222954874,2.22929,2.9128999999999996,10.34,14.29283999999985,194,1935,1741,0.2001,1.9963
直接胆红素,96265,96143,0.9987326650392147,0.68,1.61,10.92,15.442899999999645,192,1915,1723,0.1997,1.9918
尿素,96628,96504,0.9987167280705386,2.05,2.79,9.54,13.659880000000122,193,1914,1721,0.2,1.9833
间接胆红素,96264,96142,0.9987326518740132,2.5,3.85,24.3,36.00858999999996,190,1911,1721,0.1976,1.9877
淋巴细胞百分数,97057,96927,0.9986605808957623,7.5,15.5,53.1,60.50739999999932,189,1908,1719,0.195,1.9685
大血小板比率,97057,96869,0.9980629939107947,9.9,13.1,44.3,57.1,192,1904,1712,0.1982,1.9655
中性粒细胞绝对值,97057,96927,0.9986605808957623,0.87,1.3,7.03,11.23,188,1897,1709,0.194,1.9571
促甲状腺激素,90491,90293,0.997811937098717,0.01,0.24,8.02,24.353279999999792,91,1789,1698,0.1008,1.9813
总蛋白,96269,96147,0.9987327176972858,58.3,62.0,82.0,86.6,190,1885,1695,0.1976,1.9605
白球比,96261,96139,0.9987326123767674,1.03,1.21,2.44,2.8,191,1885,1694,0.1987,1.9607
癌胚抗原,90459,89733,0.9919742645839552,0.03,0.31,5.98,11.453399999999819,90,1783,1693,0.1003,1.987
红细胞计数,97060,96930,0.9986606222954874,3.11,3.66,5.99,6.850709999999962,192,1882,1690,0.1981,1.9416
平均血小板体积,97057,96869,0.9980629939107947,7.6,8.2,12.7,14.5,180,1869,1689,0.1858,1.9294
总胆红素,96266,96144,0.9987326782041427,4.56429,6.3,34.38,49.557140000000075,194,1882,1688,0.2018,1.9575
红细胞压积,97070,96940,0.9986607602760894,26.5939,32.5,52.4,56.0,193,1878,1685,0.1991,1.9373
血小板计数,97057,96927,0.9986605808957623,61.926,111.0,387.0,498.07399999999325,194,1878,1684,0.2002,1.9375
尿酸,96934,96810,0.9987207790868013,132.809,178.0,592.0,709.0,193,1877,1684,0.1994,1.9388
乳酸脱氢酶,96405,96283,0.998734505471708,88.0,106.0,245.0,361.0,190,1874,1684,0.1973,1.9463
肌酐,96634,96503,0.9986443694765818,35.0,42.0,116.0,185.0,172,1849,1677,0.1782,1.916
平均红细胞体积,97057,96927,0.9986605808957623,61.4,68.5,100.7,106.40739999999933,190,1866,1676,0.196,1.9252
小而密低密度脂蛋白胆固醇,92661,92551,0.9988128770464381,0.245,0.2965,2.1265,4.380599999999976,183,1852,1669,0.1977,2.0011
总胆汁酸,92506,92401,0.9988649384904763,0.27,0.6,17.23,54.2120000000007,184,1848,1664,0.1991,2.0
白蛋白,96266,96144,0.9987326782041427,36.3,39.3,50.6,52.8,184,1846,1662,0.1914,1.92
葡萄糖,93106,92968,0.9985178184005328,4.11,4.54,11.2,16.64,183,1840,1657,0.1968,1.9792
胃蛋白酶原Ⅱ,89644,89195,0.994991298915711,1.0,2.4,35.0,60.0,49,1706,1657,0.0549,1.9127
红细胞体积分布宽度标准差(SD),97057,96927,0.9986605808957623,34.3,36.9,52.5,61.9,184,1837,1653,0.1898,1.8952
血红蛋白,97057,96927,0.9986605808957623,80.0,104.0,174.0,185.0,177,1827,1650,0.1826,1.8849
平均红细胞血红蛋白含量,97057,96927,0.9986605808957623,18.2,21.0,34.1,36.207399999999325,190,1838,1648,0.196,1.8963
碱性磷酸酶,96265,96104,0.9983275333714227,25.10300000000001,35.0,143.0,329.7939999999944,194,1841,1647,0.2019,1.9156
球蛋白,96264,96142,0.9987326518740132,16.4,18.7,35.8,40.585899999999675,184,1825,1641,0.1914,1.8982
非高密度脂蛋白胆固醇,92658,92550,0.9988344233633362,0.82,1.21,5.94,7.7,183,1820,1637,0.1977,1.9665
前白蛋白,96265,96142,0.9987222770477329,13.0,17.0,40.0,47.0,171,1801,1630,0.1779,1.8733
载脂蛋白A1,94239,94131,0.9988539776525642,0.83,0.98,2.06,2.5,171,1801,1630,0.1817,1.9133
超敏C反应蛋白,91082,90964,0.9987044641092642,0.05,0.13,21.1,75.032929999997,175,1802,1627,0.1924,1.981
25-羟基维生素D,90577,90405,0.9981010631838104,7.99808,10.48,64.26960000000005,88.1445600000018,182,1807,1625,0.2013,1.9988
α-L-岩藻糖苷酶,91658,91547,0.9987889764123153,5.9,9.41,36.8,45.73619999999937,178,1801,1623,0.1944,1.9673
纤维蛋白原,91504,91368,0.9985137261759048,1.71,2.06,5.04,6.416330000000016,183,1805,1622,0.2003,1.9755
电导率,96276,94930,0.9860193610037808,3.0,6.0,31.83,36.98,163,1779,1616,0.1717,1.874
肌红蛋白,90373,89929,0.9950870282053268,4.11856,8.08,93.19,402.98936000000015,180,1793,1613,0.2002,1.9938
细胞角蛋白19片段,89803,89680,0.998630335289467,0.58,0.79,6.11,9.876419999999925,172,1784,1612,0.1918,1.9893
促卵泡成熟激素,89692,89524,0.9981269232484502,0.8,1.55,135.10620000000026,182.58108999999982,176,1786,1610,0.1966,1.995
神经元特异性烯醇化酶,89739,89573,0.9981501911097739,5.03572,6.3,15.73,26.56423999999999,180,1787,1607,0.201,1.995
C-反应蛋白,90528,90340,0.9979232944503358,0.08,0.24,17.406100000000006,66.7304999999964,144,1747,1603,0.1594,1.9338
甲胎蛋白,90488,89353,0.987456900362479,0.91,1.09,9.91,23.538880000000063,153,1756,1603,0.1712,1.9652
糖类抗原CA72-4,88006,87505,0.9943072063268413,0.5,0.64,51.8,174.49599999999919,91,1692,1601,0.104,1.9336
促黄体生成激素,89698,89482,0.9975919195522754,0.3748100000000001,1.6,67.40190000000003,93.96152000000002,180,1777,1597,0.2012,1.9859
AST/ALT,96070,96066,0.9999583636931404,0.3,0.39,2.11,3.1986999999999535,192,1788,1596,0.1999,1.8612
活化部分凝血活酶时间,91486,91334,0.9983385436022998,25.9,27.9,42.8,51.533400000000256,183,1779,1596,0.2004,1.9478
单核细胞百分数,97057,96927,0.9986605808957623,2.5,3.6,12.0,15.807399999999326,187,1778,1591,0.1929,1.8344
糖化白蛋白,92725,92593,0.9985764356969533,10.0,10.8,21.0,29.0,89,1678,1589,0.0961,1.8122
凝血酶原时间,91482,91346,0.9985133687501366,11.0,11.5,14.2,19.4,127,1716,1589,0.139,1.8786
嗜酸性粒细胞绝对值,97057,96927,0.9986605808957623,0.0,0.02,0.59,1.3007399999999325,97,1676,1579,0.1001,1.7291
糖化血红蛋白,93222,93088,0.9985625710669155,4.2,4.7,9.1,11.9,153,1729,1576,0.1644,1.8574
泌乳素,87809,87666,0.9983714653395438,2.35665,4.04,47.07050000000018,120.55095000000365,176,1752,1576,0.2008,1.9985
维生素B12,89038,88446,0.9933511534401043,197.0,283.0,1608.0,1957.554999999993,174,1748,1574,0.1967,1.9763
平均红细胞血红蛋白浓度,97057,96927,0.9986605808957623,284.0,305.0,360.0,372.0,172,1742,1570,0.1775,1.7972
糖类抗原CA19-9,87855,83351,0.9487337089522508,0.05,0.6,43.955,107.2914999999912,84,1654,1570,0.1008,1.9844
游离三碘甲状腺原氨酸,90449,90327,0.9986511735895367,1.78,2.17,4.37,8.043479999999981,179,1741,1562,0.1982,1.9274
总铁结合力,89116,88994,0.9986309978006194,33.2,38.6,72.8,83.20069999999978,175,1733,1558,0.1966,1.9473
胃蛋白酶原I/胃蛋白酶原II,87752,87326,0.9951454097912298,0.4,2.0,25.33,38.41875000000073,159,1716,1557,0.1821,1.9651
血清铁,87227,87110,0.9986586722001215,2.8109000000000006,5.1,38.0,48.98910000000033,176,1711,1535,0.202,1.9642
凝血酶时间,91483,91347,0.9985133850004919,15.1,15.8,19.8,22.3,175,1704,1529,0.1916,1.8654
肌酸激酶,90658,90478,0.9980145160934502,25.0,33.0,549.2299999999959,4851.891000000018,165,1693,1528,0.1824,1.8712
单核细胞绝对值,97057,96927,0.9986605808957623,0.11,0.16,0.79,1.08,166,1692,1526,0.1713,1.7456
尿比重,96276,94936,0.9860816818314014,1.002,1.005,1.039,1.05,40,1557,1517,0.0421,1.6401
载脂蛋白B,94240,94132,0.9988539898132428,0.24,0.34,1.48,1.77,178,1680,1502,0.1891,1.7847
游离甲状腺素,90452,90327,0.9986180515632601,0.71,0.9,1.78,2.6667399999999906,177,1677,1500,0.196,1.8566
